,filepath,centroid,x_min,y_min,x_max,y_max,detection_confidence
41,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2823.0, 2496.0]",2472,2126,3174,2866,0.7484544
42,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2817.0, 2504.5]",2455,2140,3179,2869,0.761218
43,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2814.5, 2492.0]",2458,2125,3171,2859,0.7621339
44,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2821.0, 2475.5]",2458,2100,3184,2851,0.7625254
45,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2831.5, 2490.0]",2475,2130,3188,2850,0.76962966
46,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2820.0, 2488.0]",2465,2116,3175,2860,0.762249
47,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2819.0, 2481.0]",2452,2095,3186,2867,0.76531076
48,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2824.0, 2476.0]",2462,2094,3186,2858,0.7653516
49,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2811.0, 2481.0]",2444,2109,3178,2853,0.76476616
50,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2818.0, 2485.5]",2453,2108,3183,2863,0.7681418
51,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2820.0, 2476.5]",2453,2087,3187,2866,0.77007174
52,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2820.0, 2482.5]",2451,2098,3189,2867,0.7784424
53,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,"[2819.0, 2471.5]",2448,2094,3190,2849,0.7801137
