,filepath,x_min,y_min,x_max,y_max,detection_confidence
29,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,1196,2148,2492,3040,0.5371789
30,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2766,2124,3254,2587,0.8036791
31,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2726,1898,3565,2591,0.7852749
32,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2733,2145,3190,2576,0.776129
33,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2855,2129,3260,2594,0.77057296
34,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2725,1953,3325,2605,0.55882174
35,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2846,2118,3275,2624,0.7872965
36,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2829,2113,3282,2584,0.81260717
37,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2755,1854,3273,2583,0.6076383
38,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2700,2109,3273,2727,0.78336334
39,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2844,2133,3266,2601,0.68284494
40,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2753,2131,3246,2600,0.7854674
41,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2719,1946,3554,2654,0.5221332
42,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2688,2013,3258,2642,0.7483198
43,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2690,2172,3199,2652,0.7673305
44,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2612,2108,3250,2647,0.8073644
